step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
10,5.833109,5.833109,1.1e-06,163840,0,11.4954,11.3,2.41,10.21,2026-04-19T03:31:13.974092
20,5.74137,5.787239,2.1000000000000002e-06,327680,1680.2,10.7985,21.0,2.41,10.21,2026-04-19T03:31:23.724917
30,5.549311,5.70793,3.1e-06,491520,1670.0,10.5145,30.8,2.41,10.21,2026-04-19T03:31:33.535711
40,5.248648,5.593109,4.1000000000000006e-06,655360,1663.4,12.9245,40.7,2.41,10.21,2026-04-19T03:31:43.385427
50,4.914544,5.457396,5.1e-06,819200,1660.6,9.1693,50.6,2.41,10.21,2026-04-19T03:31:53.251508
60,4.760451,5.341239,6.100000000000001e-06,983040,1662.0,10.261,60.4,2.41,10.21,2026-04-19T03:32:03.109555
70,4.436105,5.211934,7.1e-06,1146880,1658.1,8.7419,70.3,2.41,10.21,2026-04-19T03:32:12.990515
80,4.367998,5.106442,8.1e-06,1310720,1652.6,5.9665,80.2,2.41,10.21,2026-04-19T03:32:22.904836
90,4.222548,5.008231,9.100000000000001e-06,1474560,1650.2,11.0967,90.1,2.41,10.21,2026-04-19T03:32:32.833351
100,3.843406,4.891749,1.01e-05,1638400,1658.1,4.91,100.0,2.41,10.21,2026-04-19T03:32:42.714481
110,3.850344,4.797076,1.11e-05,1802240,1650.7,4.327,109.9,2.41,10.21,2026-04-19T03:32:52.639975
120,3.401152,4.680749,1.2100000000000001e-05,1966080,1658.6,4.8843,119.8,2.41,10.21,2026-04-19T03:33:02.518068
130,3.701149,4.605395,1.3100000000000002e-05,2129920,1650.6,3.681,129.7,2.41,10.21,2026-04-19T03:33:12.443943
140,3.455642,4.52327,1.41e-05,2293760,1655.0,4.4267,139.6,2.41,10.21,2026-04-19T03:33:22.343518
150,3.411562,4.449156,1.5100000000000001e-05,2457600,1646.5,3.4434,149.6,2.41,10.21,2026-04-19T03:33:32.294055
160,3.553147,4.393155,1.6100000000000002e-05,2621440,1654.4,3.6356,159.5,2.41,10.21,2026-04-19T03:33:42.197931
170,3.257632,4.32636,1.7100000000000002e-05,2785280,1652.5,4.0427,169.4,2.41,10.21,2026-04-19T03:33:52.112507
180,3.377241,4.273631,1.8100000000000003e-05,2949120,1651.4,3.1977,179.3,2.41,10.21,2026-04-19T03:34:02.033947
190,3.763486,4.246781,1.9100000000000003e-05,3112960,1649.2,5.8121,189.3,2.41,10.21,2026-04-19T03:34:11.968422
200,3.480836,4.208484,2e-05,3276800,1648.7,3.237,199.2,2.41,10.21,2026-04-19T03:34:21.905736
210,3.465078,4.173084,1.999999380251525e-05,3440640,1650.9,4.2869,209.1,2.41,10.21,2026-04-19T03:34:31.830282
10,5.870907,5.870907,1.1e-06,163840,0,10.5804,11.1,2.4,10.21,2026-04-19T03:36:06.883341
20,6.110601,5.990754,2.1000000000000002e-06,327680,1673.1,11.3727,20.8,2.4,10.21,2026-04-19T03:36:16.675278
