step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
0,10.943263,10.943263,6e-07,51200,0,15.7078,3.4,3.11,10.99,2026-04-18T05:29:13.369819
10,9.971319,10.457291,6.5999999999999995e-06,563200,1719.9,5.4417,33.2,3.11,11.98,2026-04-18T05:29:43.139357
20,9.51632,10.143634,1.2599999999999998e-05,1075200,1716.9,3.2044,63.0,3.11,11.98,2026-04-18T05:30:12.960028
30,9.504481,9.983846,1.8599999999999998e-05,1587200,1715.6,2.742,92.8,3.11,11.98,2026-04-18T05:30:42.804526
40,9.017006,9.790478,2.4599999999999998e-05,2099200,1717.9,2.5252,122.6,3.11,11.98,2026-04-18T05:31:12.608828
50,8.916961,9.644892,3.06e-05,2611200,1718.4,2.5104,152.4,3.11,11.98,2026-04-18T05:31:42.404247
60,8.384437,9.464827,3.6599999999999995e-05,3123200,1715.1,2.0807,182.3,3.11,11.98,2026-04-18T05:32:12.256414
70,8.35858,9.326546,4.26e-05,3635200,1715.9,1.54,212.1,3.11,11.98,2026-04-18T05:32:42.094206
80,7.952854,9.173914,4.8599999999999995e-05,4147200,1717.5,1.5065,241.9,3.11,11.98,2026-04-18T05:33:11.905294
90,7.563399,9.012862,5.46e-05,4659200,1715.5,1.3969,271.8,3.11,11.98,2026-04-18T05:33:41.750488
100,7.247689,8.852392,6.0599999999999996e-05,5171200,1716.4,1.1918,301.6,3.11,11.98,2026-04-18T05:34:11.579927
110,7.071287,8.703966,6.659999999999999e-05,5683200,1717.9,1.0518,331.4,3.11,11.98,2026-04-18T05:34:41.384152
120,7.124088,8.582437,7.26e-05,6195200,1716.6,0.9315,361.2,3.11,11.98,2026-04-18T05:35:11.209967
130,7.11534,8.477645,7.859999999999999e-05,6707200,1715.6,1.0292,391.1,3.11,11.98,2026-04-18T05:35:41.053545
140,6.792076,8.365273,8.46e-05,7219200,1717.1,0.7967,420.9,3.11,11.98,2026-04-18T05:36:10.871397
150,6.792517,8.266976,9.059999999999998e-05,7731200,1716.7,1.0185,450.7,3.11,11.98,2026-04-18T05:36:40.695495
160,6.658631,8.172368,9.659999999999999e-05,8243200,1717.4,1.1998,480.5,3.11,11.98,2026-04-18T05:37:10.508218
170,6.774903,8.094731,0.0001026,8755200,1716.8,1.0956,510.4,3.11,11.98,2026-04-18T05:37:40.330395
180,6.633656,8.017832,0.00010859999999999998,9267200,1715.8,0.8551,540.2,3.11,11.98,2026-04-18T05:38:10.170341
190,6.694303,7.951656,0.0001146,9779200,1717.2,0.8464,570.0,3.11,11.98,2026-04-18T05:38:39.986987
200,6.552853,7.885046,0.00012059999999999999,10291200,1717.8,0.6224,599.8,3.11,11.98,2026-04-18T05:39:09.792754
210,6.627695,7.827894,0.0001266,10803200,1718.6,0.9714,629.6,3.11,11.98,2026-04-18T05:39:39.584310
220,6.300656,7.761492,0.0001326,11315200,1717.4,0.7583,659.4,3.11,11.98,2026-04-18T05:40:09.396274
230,6.389533,7.704327,0.0001386,11827200,1718.6,0.8674,689.2,3.11,11.98,2026-04-18T05:40:39.187081
240,6.242496,7.645854,0.0001446,12339200,1717.7,0.6345,719.0,3.11,11.98,2026-04-18T05:41:08.994264
250,6.494143,7.601557,0.00015059999999999997,12851200,1718.5,1.0027,748.8,3.11,11.98,2026-04-18T05:41:38.786813
260,6.380209,7.556322,0.00015659999999999998,13363200,1717.9,0.9712,778.6,3.11,11.98,2026-04-18T05:42:08.590766
270,6.405379,7.515217,0.0001626,13875200,1718.0,0.6115,808.4,3.11,11.98,2026-04-18T05:42:38.392488
280,6.476379,7.479395,0.00016859999999999998,14387200,1717.2,0.7431,838.2,3.11,11.98,2026-04-18T05:43:08.208913
290,6.130553,7.434434,0.0001746,14899200,1717.6,0.8194,868.1,3.11,11.98,2026-04-18T05:43:38.019006
300,6.262928,7.396643,0.00018059999999999997,15411200,1718.7,0.6515,897.8,3.11,11.98,2026-04-18T05:44:07.808863
310,6.154671,7.357831,0.00018659999999999998,15923200,1717.3,0.7582,927.7,3.11,11.98,2026-04-18T05:44:37.622510
320,6.272767,7.324951,0.0001926,16435200,1718.6,0.5596,957.4,3.11,11.98,2026-04-18T05:45:07.415154
330,6.135236,7.289959,0.00019859999999999998,16947200,1718.1,0.6463,987.2,3.11,11.98,2026-04-18T05:45:37.215763
340,6.342049,7.262876,0.00020459999999999999,17459200,1718.2,0.5914,1017.0,3.11,11.98,2026-04-18T05:46:07.013834
350,7.254006,7.26263,0.00021059999999999997,17971200,1718.4,1.7357,1046.8,3.11,11.98,2026-04-18T05:46:36.808456
360,5.966302,7.227594,0.00021659999999999998,18483200,1718.0,0.7528,1076.6,3.11,11.98,2026-04-18T05:47:06.610347
370,6.057637,7.196805,0.0002226,18995200,1718.6,0.6131,1106.4,3.11,11.98,2026-04-18T05:47:36.402426
380,6.170691,7.170495,0.00022859999999999997,19507200,1717.5,0.852,1136.2,3.11,11.98,2026-04-18T05:48:06.213632
390,5.914202,7.139087,0.00023459999999999998,20019200,1718.6,1.0822,1166.0,3.11,11.98,2026-04-18T05:48:36.004606
400,6.27023,7.117896,0.0002406,20531200,1717.3,0.6755,1195.8,3.11,11.98,2026-04-18T05:49:05.817973
410,6.242248,7.097047,0.0002466,21043200,1718.8,0.6576,1225.6,3.11,11.98,2026-04-18T05:49:35.605639
420,6.092886,7.073694,0.0002526,21555200,1717.7,0.6413,1255.4,3.11,11.98,2026-04-18T05:50:05.413695
430,6.262222,7.055252,0.0002586,22067200,1718.6,0.6257,1285.2,3.11,11.98,2026-04-18T05:50:35.204937
440,5.954218,7.030784,0.0002646,22579200,1718.8,0.5651,1315.0,3.11,11.98,2026-04-18T05:51:04.993339
450,6.16272,7.011914,0.00027059999999999996,23091200,1716.9,0.4944,1344.8,3.11,11.98,2026-04-18T05:51:34.814335
460,6.084101,6.992173,0.00027659999999999995,23603200,1718.9,0.6048,1374.6,3.11,11.98,2026-04-18T05:52:04.601285
470,6.253139,6.976776,0.0002826,24115200,1717.9,0.6204,1404.4,3.11,11.98,2026-04-18T05:52:34.405042
480,5.962387,6.956074,0.00028859999999999997,24627200,1718.8,0.6096,1434.2,3.11,11.98,2026-04-18T05:53:04.193609
490,5.975753,6.936468,0.00029459999999999995,25139200,1717.7,0.6976,1464.0,3.11,11.98,2026-04-18T05:53:34.000410
500,5.988762,6.917886,0.0003006,25651200,1718.8,0.5723,1493.8,3.11,11.98,2026-04-18T05:54:03.789257
510,5.987652,6.899996,0.00030659999999999997,26163200,996.7,0.7295,1545.2,3.93,12.8,2026-04-18T05:54:55.228358
520,5.90275,6.88118,0.0003126,26675200,1617.6,0.4926,1576.8,3.93,12.8,2026-04-18T05:55:26.822436
530,5.948702,6.863912,0.0003186,27187200,1560.6,0.7046,1609.7,3.93,12.8,2026-04-18T05:56:00.224498
540,5.94182,6.847147,0.0003245999999999999,27699200,1343.8,0.7643,1647.8,3.93,12.8,2026-04-18T05:56:37.859136
550,6.152704,6.834746,0.00033059999999999996,28211200,1013.3,0.6051,1698.3,3.93,12.8,2026-04-18T05:57:28.250432
560,5.870017,6.817821,0.00033659999999999994,28723200,1715.9,0.7369,1728.1,3.93,12.8,2026-04-18T05:57:58.086451
570,5.888158,6.801793,0.0003426,29235200,1713.2,0.5712,1758.0,3.93,12.8,2026-04-18T05:58:27.970744
580,5.851214,6.785681,0.00034859999999999996,29747200,1712.2,0.7747,1787.9,3.93,12.8,2026-04-18T05:58:57.874431
590,5.889512,6.770745,0.00035459999999999995,30259200,1714.3,0.711,1817.8,3.93,12.8,2026-04-18T05:59:27.740969
600,5.877945,6.756109,0.0003606,30771200,1707.5,0.4691,1847.8,3.93,12.8,2026-04-18T05:59:57.727459
610,5.776913,6.740315,0.00036659999999999997,31283200,1712.1,0.7289,1877.7,3.93,12.8,2026-04-18T06:00:27.632010
620,6.014994,6.728802,0.0003726,31795200,1709.5,0.6568,1907.6,3.93,12.8,2026-04-18T06:00:57.582053
630,5.860294,6.715232,0.0003786,32307200,1707.5,0.5921,1937.6,3.93,12.8,2026-04-18T06:01:27.567892
